Test,Scheme,Full Name,Survey No,Date,Month,Year,Combined Date,Barcode,Result,Results 2,Units,Reference Range,Group Participants,Reagent Median,Z-Score,% Deviation,Overall Participants,Overall Median,% Deviation2,Z-Score,IQ range,IQ result,Range,Previous % deviation,Cumulative Grades,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADAMTS13 Inhibitor,"ECAT,","ECAT, 2015-1-15/27",1-15/27,1,May,2015,1 May 2015,,3.6,,,,33,6.7,-1.27,,35,7.1,,-1.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADAMTS13 Inhibitor,"ECAT,","ECAT, 2015-1-15/28",1-15/28,1,May,2015,1 May 2015,,18.9,,,,34,14.2,1.39,,36,14.6,,1.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PT INR,NEQAS,"NEQAS, SURVEY212-15/18",212-15/18,10,May,2015,10 May 2015,2501700,3.98,,,,245,3.98,,0,855,3.9,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PT ,NEQAS,"NEQAS, SURVEY212-15/19",212-15/19,10,May,2015,10 May 2015,2501756,14.1,1.26,,,308,1.21,,4.1,853,1.2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APTT,NEQAS,"NEQAS, SUVERY212-15/20",212-15/20,10,May,2015,10 May 2015,2501770,38.8,1.25,,,347,1.26,,-0.8,877,1.26,-0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heparin Ratio,NEQAS,"NEQAS, SURVEY212-15/21",212-15/21,10,May,2015,10 May 2015,2501786,1.18,,,,215,1.26,,-6.3,605,1.29,-8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fibrinogen,NEQAS,"NEQAS, SURVEY212-15/22",212-15/22,10,May,2015,10 May 2015,2501797,2.34,,,,734,2.68,,-12.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Factor VIII,NEQAS,"NEQAS, SURVEY212-15/23",212-15/23,10,May,2015,10 May 2015,2501845,46,,,,337,44,,4.5,,,,,41-46.5,A,,,A/a/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Factor IX,NEQAS,"NEQAS, SURVEY212-15/24",212-15/24,10,May,2015,10 May 2015,2801865,115,,,,301,106,,8.5,,,,,100-113.5,B,,,A/B/B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VWF Antigen,NEQAS,"NEQAS, SURVEY212-15/25",212-15/25,10,May,2015,10 May 2015,2501893,15,,,,203,13,,15.4,215,,,,12-14.2,C,,,D/E/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VWF Activity,NEQAS,"NEQAS, SURVEY212-15/25",212-15/25,10,May,2015,10 May 2015,2501893,4,,,,6,4.25,,-5.9,178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antithrombin,NEQAS,"NEQAS, SURVEY210-15/26",210-15/26,10,May,2015,10 May 2015,2501943,91,,,,86,2.71,,-4.1,219,,,,83-89,C,,,e/a/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protein C Activity,NEQAS,"NEQAS, SURVEY210-15/26",210-15/26,10,May,2015,10 May 2015,2501943,77,,,,290,78.4,,-1.8,302,,,,76-81,a,,,A/b/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protein S,NEQAS,"NEQAS, SURVEY210-15/26",210-15/26,10,May,2015,10 May 2015,2501943,67.4,,,,266,63,,7,266,,,,60-66.2,B,,,a/A/B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APCR,NEQAS,"NEQAS, SURVEY210-15/26",210-15/26,10,May,2015,10 May 2015,2501943,2.6,,,,86,2.71,,-4.1,219,,,,2.64-2.8,b,,,e/a/b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TG 5pm Lag Phase,ECAT,"ECAT, 2014-4-14/161",4-14/161,11,May ,2015,11 May  2015,,4.2,,,,14,5.4,,,,,,,,,3.3-15.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TG 5pm Time to peak,ECAT,"ECAT, 2014-4-14/161",4-14/161,11,May ,2015,11 May  2015,,6,,,,14,7.4,,,,,,,,,5.3-1055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TG 5pm Peak Thrombin,ECAT,"ECAT, 2014-4-14/161",4-14/161,11,May ,2015,11 May  2015,,1098,,,,14,1344,,,,,,,,,18-2069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TG 5pm Lag Velocity index,ECAT,"ECAT, 2014-4-14/161",4-14/161,11,May ,2015,11 May  2015,,604,,,,12,676.7,,,,,,,,,468.7-944.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TG 5pm ETP,ECAT,"ECAT, 2014-4-14/161",4-14/161,11,May ,2015,11 May  2015,,5362,,,,14,7746,,,,,,,,,5162-11175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TG 5pm Lag Phase,ECAT,"ECAT, 2014-4-14/162",4-14/162,11,May ,2015,11 May  2015,,2.3,,,,15,2.7,,,,,,,,,2.2-3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TG 5pm Time to peak,ECAT,"ECAT, 2014-4-14/162",4-14/162,11,May ,2015,11 May  2015,,4.3,,,,15,5.9,,,,,,,,,4.3-7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TG 5pm Peak Thrombin,ECAT,"ECAT, 2014-4-14/162",4-14/162,11,May ,2015,11 May  2015,,346,,,,15,307,,,,,,,,,214-383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TG 5pm Lag Velocity index,ECAT,"ECAT, 2014-4-14/162",4-14/162,11,May ,2015,10 May  2015,,173,,,,13,106.7,,,,,,,,,50.8-173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TG 5pm ETP,ECAT,"ECAT, 2014-4-14/162",4-14/162,11,May ,2015,10 May  2015,,1502,,,,15,1822,,,,,,,,,1384-2604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Factor VII,NEQAS,"NEQAS, SURVEY213-15/32",213-15/32,10,July,2015,10 July 2015,3295466,13,,,,269,14,,-7.1,,,,,12.5-17,a,,,a/C/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Factor VIII,NEQAS,"NEQAS, SURVEY213-15/33",213-15/33,10,July,2015,10 July 2015,3295478,49,,,,344,44,,11.4,,,,,41.1-47,C,,,s/A/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Factor X,NEQAS,"NEQAS, SURVEY213-15/34",213-15/34,10,July,2015,10 July 2015,3295489,10,,,,257,9.3,,7.5,,,,,8.8-10,A,,,A/B/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Factor XII,NEQAS,"NEQAS, SURVEY213-15/35",213-15/35,10,July,2015,10 July 2015,3295497,15,,,,266,15,,0,,,,,12-16.2,A,,,A/a/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antithrombin,NEQAS,"NEQAS, SURVEY213-15/36",213-15/36,10,July,2015,10 July 2015,3295524,101,,,,119,94,,7.4,303,,,,90.6-97.5,D,,,a/C/D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protein C Activity,NEQAS,"NEQAS, SURVEY213-15/36",213-15/36,10,July,2015,10 July 2015,3295524,44.5,,,,289,46,,-3.3,303,,,,44-48,a,,,b/a/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protein S,NEQAS,"NEQAS, SURVEY213-15/36",213-15/36,10,July,2015,10 July 2015,3295524,98,,,,264,94.6,,3.6,264,,,,91-99,A,,,A/B/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APCR,NEQAS,"NEQAS, SURVEY213-15/36",213-15/36,10,July,2015,10 July 2015,3295524,2.71,,,,90,2.65,,2.3,223,,,,2.6-2.71,A,,,a/b/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADAMTS13 Activity,ECAT,"ECAT, 2015-2-15/57",2-15/57,16,July,2015,16 July 2015,,99,,,,52,92,0.54,,84,92,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADAMTS13 Activity,ECAT,"ECAT, 2015-2-15/58",2-15/58,16,July,2015,16 July 2015,,13,,,,57,14,-0.22,,90,14,,-0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADAMTS13 Inhibitor,ECAT,"ECAT, 2015-2-15/59",2-15/59,16,July,2015,16 July 2015,,5.4,,,,33,4.8,0.36,,36,4.9,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADAMTS13 Inhibitor,ECAT,"ECAT, 2015-2-15/60",2-15/60,16,July,2015,16 July 2015,,8.4,,,,33,10.6,-0.73,,36,10.7,,-0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rivaroxaban,ECAT,"ECAT, 2015-2-15/82",2-15/82,16,July,2015,16 July 2015,,190,,,,39,223,-1.32,,178,217,,-1.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rivaroxaban,ECAT,"ECAT, 2015-2-15/83",2-15/83,16,July,2015,16 July 2015,,110,,,,39,135,-1.38,,178,126,,-0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apixaban,ECAT,"ECAT, 2015-2-15/84",2-15/84,16,July,2015,16 July 2015,,128,,,,18,141,-1.03,,104,139,,-0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apixaban,ECAT,"ECAT, 2015-2-15/85",2-15/85,16,July,2015,16 July 2015,,241,,,,18,247,-0.27,,104,246,,-0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dabigatran,ECAT,"ECAT, 2015-2-15/88",2-15/88,16,July,2015,16 July 2015,,110,,,,38,136,-1.5,,50,134,,-1.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dabigatran,ECAT,"ECAT, 2015-2-15/89",2-15/89,16,July,2015,16 July 2015,,200,,,,38,238,-1.55,,50,238,,-1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TG 5pm Lag Phase,ECAT,"ECAT, 2015-2-15/75",2-15/75,11,May ,2015,11 May  2015,,2.8,,,,20,2.5,,,,,,,,,2.0-3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TG 5pm Time to peak,ECAT,"ECAT, 2015-2-15/75",2-15/75,11,May ,2015,11 May  2015,,4.9,,,,20,5.4,,,,,,,,,4.2-6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TG 5pm Peak Thrombin,ECAT,"ECAT, 2015-2-15/75",2-15/75,11,May ,2015,11 May  2015,,393,,,,20,332,,,,,,,,,255-421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TG 5pm Lag Velocity index,ECAT,"ECAT, 2015-2-15/75",2-15/75,11,May ,2015,11 May  2015,,187.6,,,,17,122.2,,,,,,,,,69.8-359.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TG 5pm ETP,ECAT,"ECAT, 2015-2-15/75",2-15/75,11,May ,2015,31 May  2015,,1808,,,,20,1864,,,,,,,,,1533-2789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TG 5pm Lag Phase,ECAT,"ECAT, 2015-2-15/76",2-15/76,11,May ,2015,11 May  2015,,2.3,,,,20,2.1,,,,,,,,,1.7-3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TG 5pm Time to peak,ECAT,"ECAT, 2015-2-15/76",2-15/76,11,May ,2015,11 May  2015,,4.7,,,,20,4.5,,,,,,,,,3.9-6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TG 5pm Peak Thrombin,ECAT,"ECAT, 2015-2-15/76",2-15/76,11,May ,2015,11 May  2015,,94,,,,250,96,,,,,,,,,71-125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TG 5pm Lag Velocity index,ECAT,"ECAT, 2015-2-15/76",2-15/76,11,May ,2015,10 May  2015,,40.4,,,,17,41.3,,,,,,,,,30.5-999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TG 5pm ETP,ECAT,"ECAT, 2015-2-15/76",2-15/76,11,May ,2015,10 May  2015,,787,,,,20,850,,,,,,,,,31-1150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TG 5pm Lag Phase,ECAT,"ECAT, 2015-2-15/77",2-15/77,11,May ,2015,11 May  2015,,2.3,,,,20,2.5,,,,,,,,,2.2-4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TG 5pm Time to peak,ECAT,"ECAT, 2015-2-15/77",2-15/77,11,May ,2015,11 May  2015,,6.5,,,,20,8.1,,,,,,,,,5.4-16.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TG 5pm Peak Thrombin,ECAT,"ECAT, 2015-2-15/77",2-15/77,11,May ,2015,11 May  2015,,223,,,,20,176,,,,,,,,,81-271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
